customer_ID,contract_type,paperless_billing,payment_method,high_value_customer_flag
6234-RAAPL,Two year,No,Bank transfer (automatic),High
6047-YHPVI,Month-to-month,Yes,Electronic check,Medium
6572-ADKRS,Month-to-month,Yes,Credit card (automatic),Medium
5380-WJKOV,Month-to-month,Yes,Electronic check,High
8168-UQWWF,Month-to-month,Yes,Bank transfer (automatic),High
8865-TNMNX,One year,No,Mailed check,Medium
9489-DEDVP,Two year,Yes,Credit card (automatic),Medium
9867-JCZSP,One year,No,Mailed check,Low
4671-VJLCL,Two year,Yes,Credit card (automatic),Medium
4080-IIARD,Month-to-month,Yes,Electronic check,Medium
3714-NTNFO,Month-to-month,Yes,Electronic check,High
5948-UJZLF,Month-to-month,No,Mailed check,Medium
7760-OYPDY,Month-to-month,Yes,Electronic check,High
7639-LIAYI,Two year,Yes,Credit card (automatic),Medium
2954-PIBKO,Two year,Yes,Credit card (automatic),Medium
8012-SOUDQ,Month-to-month,Yes,Electronic check,High
9420-LOJKX,Month-to-month,Yes,Credit card (automatic),High
6575-SUVOI,Month-to-month,Yes,Credit card (automatic),Medium
7495-OOKFY,Month-to-month,Yes,Credit card (automatic),High
4667-QONEA,One year,Yes,Credit card (automatic),Medium
1658-BYGOY,Month-to-month,Yes,Electronic check,High
8769-KKTPH,One year,Yes,Credit card (automatic),High
5067-XJQFU,One year,Yes,Electronic check,High
3957-SQXML,Two year,No,Credit card (automatic),Low
5954-BDFSG,Two year,Yes,Credit card (automatic),High
0434-CSFON,Month-to-month,Yes,Electronic check,High
1215-FIGMP,Month-to-month,Yes,Bank transfer (automatic),High
0526-SXDJP,Two year,No,Bank transfer (automatic),Medium
0557-ASKVU,One year,Yes,Credit card (automatic),Medium
5698-BQJOH,Month-to-month,No,Electronic check,High
5122-CYFXA,Month-to-month,Yes,Electronic check,Medium
8627-ZYGSZ,One year,Yes,Electronic check,Medium
3410-YOQBQ,Two year,No,Mailed check,Medium
3170-NMYVV,Two year,No,Bank transfer (automatic),Low
7410-OIEDU,Month-to-month,Yes,Mailed check,Medium
2273-QCKXA,Month-to-month,No,Mailed check,Medium
0731-EBJQB,One year,Yes,Electronic check,Low
1891-QRQSA,Two year,Yes,Bank transfer (automatic),High
8028-PNXHQ,Two year,Yes,Bank transfer (automatic),Low
5630-AHZIL,Month-to-month,Yes,Bank transfer (automatic),Medium
2673-CXQEU,One year,No,Electronic check,High
6416-JNVRK,One year,No,Credit card (automatic),Medium
5590-ZSKRV,Month-to-month,No,Mailed check,Medium
0191-ZHSKZ,Month-to-month,Yes,Electronic check,Medium
3887-PBQAO,One year,Yes,Credit card (automatic),Low
5919-TMRGD,Month-to-month,Yes,Electronic check,Medium
8108-UXRQN,Month-to-month,No,Electronic check,Medium
9191-MYQKX,Month-to-month,Yes,Bank transfer (automatic),Medium
9919-YLNNG,Month-to-month,Yes,Bank transfer (automatic),High
0318-ZOPWS,Two year,Yes,Bank transfer (automatic),Low
4445-ZJNMU,Month-to-month,Yes,Credit card (automatic),High
4808-YNLEU,One year,Yes,Bank transfer (automatic),Medium
1862-QRWPE,Two year,No,Bank transfer (automatic),Low
2796-NNUFI,Two year,Yes,Mailed check,Low
3016-KSVCP,Month-to-month,No,Mailed check,Low
4767-HZZHQ,Month-to-month,No,Bank transfer (automatic),High
2424-WVHPL,Month-to-month,No,Electronic check,Medium
7233-PAHHL,Two year,Yes,Mailed check,High
6067-NGCEU,Month-to-month,Yes,Credit card (automatic),High
9848-JQJTX,Two year,Yes,Bank transfer (automatic),High
8637-XJIVR,Month-to-month,Yes,Electronic check,Medium
9803-FTJCG,One year,Yes,Credit card (automatic),Medium
0278-YXOOG,Month-to-month,No,Mailed check,Low
3212-KXOCR,Two year,No,Bank transfer (automatic),Low
4598-XLKNJ,Month-to-month,Yes,Electronic check,High
6380-ARCEH,Month-to-month,No,Mailed check,Low
3679-XASPY,Month-to-month,No,Electronic check,Low
7123-WQUHX,One year,No,Bank transfer (automatic),High
5386-THSLQ,One year,No,Bank transfer (automatic),Medium
3192-NQECA,Two year,Yes,Bank transfer (automatic),High
6180-YBIQI,Month-to-month,No,Mailed check,Low
6728-DKUCO,One year,Yes,Electronic check,High
9750-BOOHV,One year,No,Mailed check,Low
8597-CWYHH,One year,No,Mailed check,High
2848-YXSMW,Two year,No,Credit card (automatic),Low
0486-HECZI,Month-to-month,Yes,Electronic check,High
4549-ZDQYY,One year,No,Credit card (automatic),Medium
5712-AHQNN,Month-to-month,Yes,Electronic check,High
4846-WHAFZ,Month-to-month,Yes,Electronic check,Medium
5256-SKJGO,Two year,Yes,Electronic check,Medium
3071-VBYPO,Month-to-month,No,Electronic check,High
9560-BBZXK,Two year,No,Bank transfer (automatic),Low
5299-RULOA,Month-to-month,Yes,Electronic check,High
8402-OOOHJ,Two year,No,Mailed check,Low
9445-ZUEQE,Month-to-month,Yes,Credit card (automatic),High
1091-SOZGA,One year,Yes,Credit card (automatic),High
2928-HLDBA,Month-to-month,No,Mailed check,Low
0404-SWRVG,Month-to-month,Yes,Electronic check,Medium
6497-TILVL,Month-to-month,No,Mailed check,Medium
7219-TLZHO,Month-to-month,No,Mailed check,Low
4622-YNKIJ,Two year,Yes,Electronic check,High
4412-YLTKF,Month-to-month,Yes,Electronic check,Medium
6734-PSBAW,Two year,Yes,Bank transfer (automatic),Low
3930-ZGWVE,Month-to-month,No,Mailed check,Low
2639-UGMAZ,One year,Yes,Electronic check,Medium
2876-GZYZC,Month-to-month,Yes,Electronic check,High
6207-WIOLX,Month-to-month,Yes,Credit card (automatic),Medium
8587-XYZSF,Two year,No,Bank transfer (automatic),Medium
3091-FYHKI,Month-to-month,Yes,Electronic check,Low
2372-HWUHI,Month-to-month,No,Electronic check,Medium
7799-LGRDP,Two year,Yes,Credit card (automatic),Low
7850-VWJUU,Month-to-month,Yes,Bank transfer (automatic),Medium
3774-VBNXY,Two year,No,Mailed check,Low
6217-KDYWC,Two year,Yes,Mailed check,Low
0390-DCFDQ,Month-to-month,Yes,Mailed check,Medium
3146-MSEGF,Two year,Yes,Credit card (automatic),High
4080-OGPJL,Month-to-month,No,Electronic check,Medium
1095-WGNGG,Two year,Yes,Bank transfer (automatic),High
2636-SJDOU,One year,Yes,Credit card (automatic),High
1131-QQZEB,Two year,No,Bank transfer (automatic),Low
5716-EZXZN,Two year,Yes,Credit card (automatic),High
6837-BJYDQ,One year,No,Mailed check,Low
2135-RXIHG,Month-to-month,Yes,Electronic check,Medium
6440-DKQGE,One year,No,Credit card (automatic),Medium
3466-BYAVD,Month-to-month,Yes,Mailed check,Medium
3780-YVMFA,Month-to-month,Yes,Electronic check,Medium
3874-EQOEP,Month-to-month,No,Mailed check,High
1679-JRFBR,One year,Yes,Credit card (automatic),High
9073-ZZIAY,Two year,No,Electronic check,High
3077-RSNTJ,Month-to-month,No,Mailed check,Low
6551-GNYDG,Month-to-month,Yes,Bank transfer (automatic),High
9167-APMXZ,Month-to-month,Yes,Bank transfer (automatic),High
2749-CTKAJ,One year,No,Mailed check,Low
6371-NZYEG,Two year,No,Mailed check,Medium
7554-NEWDD,Two year,No,Bank transfer (automatic),Low
8992-VONJD,Month-to-month,Yes,Electronic check,Medium
0867-MKZVY,Month-to-month,No,Electronic check,High
4482-EWFMI,Month-to-month,Yes,Electronic check,Medium
4648-YPBTM,Two year,Yes,Bank transfer (automatic),Medium
2907-ILJBN,One year,No,Mailed check,Low
6345-FZOQH,Two year,No,Mailed check,Low
3376-BMGFE,Month-to-month,Yes,Bank transfer (automatic),Medium
5997-OPVFA,Two year,Yes,Bank transfer (automatic),High
3445-HXXGF,Month-to-month,Yes,Electronic check,Medium
1159-WFSGR,Month-to-month,No,Electronic check,Low
7654-YWJUF,One year,Yes,Bank transfer (automatic),High
1875-QIVME,Month-to-month,Yes,Electronic check,High
6727-IOTLZ,Two year,No,Mailed check,High
0691-JVSYA,One year,Yes,Bank transfer (automatic),High
5918-VUKWP,One year,No,Bank transfer (automatic),Low
1744-JHKYS,Month-to-month,No,Electronic check,Low
2656-FMOKZ,Month-to-month,Yes,Mailed check,Medium
2070-FNEXE,Month-to-month,No,Bank transfer (automatic),Medium
5947-SGKCL,Month-to-month,Yes,Bank transfer (automatic),High
3712-PKXZA,One year,Yes,Credit card (automatic),Low
6317-YPKDH,Month-to-month,No,Bank transfer (automatic),Low
6582-OIVSP,Month-to-month,No,Mailed check,Medium
9367-WXLCH,Month-to-month,No,Bank transfer (automatic),High
5524-KHNJP,One year,No,Credit card (automatic),Medium
1918-ZBFQJ,Month-to-month,Yes,Electronic check,Medium
1024-GUALD,Month-to-month,Yes,Electronic check,Low
4827-USJHP,Month-to-month,Yes,Mailed check,Medium
8167-GJLRN,Month-to-month,No,Electronic check,Low
0956-SYCWG,One year,No,Electronic check,Low
8017-UVSZU,Month-to-month,No,Credit card (automatic),Medium
7100-FQPRV,One year,Yes,Credit card (automatic),Medium
2472-OVKUP,Month-to-month,Yes,Electronic check,High
2984-RGEYA,Two year,No,Bank transfer (automatic),Low
9680-NIAUV,Two year,No,Credit card (automatic),High
2146-EGVDT,Two year,No,Credit card (automatic),Low
2604-IJPDU,Month-to-month,Yes,Electronic check,High
9178-JHUVJ,Two year,Yes,Bank transfer (automatic),Low
6168-YBYNP,Month-to-month,Yes,Electronic check,High
7255-SSFBC,Two year,Yes,Bank transfer (automatic),High
3645-DEYGF,Month-to-month,No,Mailed check,Low
9323-HGFWY,One year,Yes,Credit card (automatic),High
8544-GOQSH,Month-to-month,Yes,Credit card (automatic),High
3363-DTIVD,Two year,No,Electronic check,High
7018-WBJNK,Month-to-month,Yes,Credit card (automatic),Medium
9142-KZXOP,Month-to-month,No,Credit card (automatic),Medium
7674-YTAFD,One year,Yes,Bank transfer (automatic),Medium
6348-SNFUS,Two year,Yes,Credit card (automatic),Medium
1285-OKIPP,Month-to-month,No,Electronic check,Medium
7825-ECJRF,Month-to-month,Yes,Electronic check,High
1347-KTTTA,One year,Yes,Credit card (automatic),High
7841-TZDMQ,Month-to-month,Yes,Credit card (automatic),Medium
4195-NZGTA,Month-to-month,No,Electronic check,Low
7157-SMCFK,Two year,No,Mailed check,Low
4709-LKHYG,One year,No,Electronic check,Low
2504-DSHIH,Month-to-month,No,Electronic check,High
0699-NDKJM,Month-to-month,Yes,Bank transfer (automatic),Medium
9286-BHDQG,Two year,No,Credit card (automatic),Medium
0230-WEQUW,Two year,Yes,Bank transfer (automatic),Medium
2040-LDIWQ,Two year,Yes,Bank transfer (automatic),High
6496-JDSSB,Month-to-month,Yes,Bank transfer (automatic),Medium
9408-SSNVZ,Month-to-month,Yes,Electronic check,Medium
4443-EMBNA,Two year,No,Bank transfer (automatic),Low
6469-MRVET,One year,Yes,Electronic check,Low
0742-MOABM,Month-to-month,No,Mailed check,Medium
5961-VUSRV,One year,Yes,Bank transfer (automatic),Low
6778-JFCMK,One year,Yes,Mailed check,Medium
6341-JVQGF,One year,Yes,Mailed check,High
2232-DMLXU,Month-to-month,No,Mailed check,Medium
4811-JBUVU,Month-to-month,Yes,Credit card (automatic),High
0945-TSONX,Two year,Yes,Credit card (automatic),High
2651-ZCBXV,Two year,Yes,Credit card (automatic),High
3316-UWXUY,Month-to-month,Yes,Credit card (automatic),High
8937-RDTHP,Month-to-month,Yes,Mailed check,High
7083-MIOPC,Two year,No,Credit card (automatic),Low
1984-GPTEH,Month-to-month,No,Electronic check,Low
1251-KRREG,Month-to-month,Yes,Mailed check,Medium
0621-JFHOL,Two year,Yes,Mailed check,Low
9903-LYSAB,Month-to-month,Yes,Electronic check,Medium
0094-OIFMO,Month-to-month,Yes,Electronic check,High
9227-UAQFT,Two year,No,Mailed check,Low
7301-ABVAD,Two year,No,Bank transfer (automatic),High
6614-FHDBO,Two year,No,Bank transfer (automatic),High
7576-ASEJU,One year,Yes,Credit card (automatic),Medium
9058-HRZSV,Month-to-month,No,Electronic check,High
4522-AKYLR,Month-to-month,Yes,Electronic check,Medium
0221-WMXNQ,Month-to-month,No,Electronic check,Medium
0303-UNCIP,One year,No,Mailed check,Medium
9947-OTFQU,Month-to-month,Yes,Electronic check,Medium
0322-YINQP,Month-to-month,Yes,Mailed check,Medium
0959-WHOKV,One year,Yes,Electronic check,High
4075-JFPGR,One year,Yes,Electronic check,High
4629-NRXKX,Month-to-month,No,Electronic check,Medium
9514-JDSKI,Month-to-month,No,Electronic check,Medium
3282-ZISZV,One year,No,Credit card (automatic),High
3675-YDUPJ,Month-to-month,Yes,Mailed check,Low
4111-BNXIF,Two year,Yes,Electronic check,Medium
7017-VFHAY,Two year,No,Credit card (automatic),High
6655-LHBYW,One year,No,Credit card (automatic),High
4959-JOSRX,Month-to-month,Yes,Credit card (automatic),Medium
5046-NUHWD,Month-to-month,Yes,Electronic check,Medium
7273-TEFQD,Month-to-month,Yes,Electronic check,Medium
3606-TWKGI,Month-to-month,Yes,Electronic check,High
7529-ZDFXI,Month-to-month,Yes,Electronic check,High
7605-BDWDC,Two year,Yes,Bank transfer (automatic),Medium
1950-KSVVJ,One year,No,Mailed check,High
0123-CRBRT,Two year,No,Mailed check,High
6292-TOSSS,Two year,No,Bank transfer (automatic),Low
3197-ARFOY,Month-to-month,Yes,Mailed check,High
6323-AYBRX,Two year,No,Mailed check,Low
7014-ZZXAW,Two year,Yes,Credit card (automatic),Low
4385-GZQXV,Month-to-month,Yes,Electronic check,High
7633-MVPUY,Two year,Yes,Electronic check,Medium
6366-ZGQGL,Month-to-month,No,Bank transfer (automatic),Low
4716-HHKQH,Month-to-month,No,Electronic check,High
5940-AHUHD,Month-to-month,No,Mailed check,Medium
6432-TWQLB,Month-to-month,Yes,Electronic check,High
4484-GLZOU,Month-to-month,Yes,Electronic check,High
3179-GBRWV,Month-to-month,Yes,Bank transfer (automatic),Medium
8645-KWHJO,Month-to-month,Yes,Electronic check,Medium
4130-MZLCC,Month-to-month,No,Bank transfer (automatic),Medium
0314-TKOSI,Month-to-month,No,Mailed check,Medium
8229-MYEJZ,Month-to-month,No,Electronic check,Medium
2080-SRCDE,Month-to-month,No,Mailed check,Low
9577-WJVCQ,Month-to-month,No,Mailed check,Medium
9512-UIBFX,Month-to-month,No,Mailed check,High
6202-DYYFX,One year,Yes,Credit card (automatic),Medium
3808-HFKDE,Month-to-month,Yes,Electronic check,Medium
5583-SXDAG,Month-to-month,No,Electronic check,Medium
3488-PGMQJ,Month-to-month,Yes,Electronic check,Medium
3580-REOAC,Month-to-month,Yes,Credit card (automatic),Medium
7534-BFESC,Month-to-month,Yes,Electronic check,Medium
3727-OWVYD,One year,No,Mailed check,Medium
2294-SALNE,One year,No,Mailed check,High
4847-TAJYI,Month-to-month,Yes,Electronic check,High
1563-IWQEX,Month-to-month,No,Mailed check,Low
8203-XJZRC,Month-to-month,No,Mailed check,Low
6556-DBKZF,Two year,No,Electronic check,Medium
6851-WEFYX,Month-to-month,Yes,Electronic check,High
2985-JUUBZ,Month-to-month,Yes,Electronic check,Medium
6390-DSAZX,Month-to-month,Yes,Mailed check,Medium
0895-LMRSF,One year,Yes,Bank transfer (automatic),Medium
8098-LLAZX,Month-to-month,Yes,Electronic check,High
8266-VBFQL,Month-to-month,Yes,Electronic check,High
8181-YHCMF,Two year,No,Credit card (automatic),Medium
2240-HSJQD,Month-to-month,Yes,Mailed check,High
1248-DYXUB,Two year,No,Mailed check,Low
0265-EDXBD,Month-to-month,Yes,Electronic check,Medium
4115-BNPJY,Two year,No,Mailed check,Medium
3167-SNQPL,Month-to-month,No,Electronic check,High
4091-TVOCN,One year,Yes,Credit card (automatic),Medium
1098-TDVUQ,Month-to-month,Yes,Bank transfer (automatic),Low
7277-OZCGZ,Month-to-month,Yes,Electronic check,High
1557-EMYVT,Two year,No,Credit card (automatic),High
2799-ARNLO,Month-to-month,Yes,Electronic check,Medium
7563-BIUPC,Month-to-month,Yes,Electronic check,High
5027-YOCXN,One year,No,Credit card (automatic),High
3973-SKMLN,Two year,Yes,Credit card (automatic),Low
2321-OMBXY,One year,No,Credit card (automatic),High
2840-XANRC,Month-to-month,Yes,Electronic check,High
6745-JEFZB,Month-to-month,Yes,Credit card (automatic),High
5020-ZSTTY,One year,No,Bank transfer (automatic),High
9880-TDQAC,Two year,Yes,Electronic check,Medium
8705-WZCYL,Month-to-month,Yes,Electronic check,Medium
7102-JJVTX,One year,No,Mailed check,Medium
8626-PTQGE,Two year,Yes,Bank transfer (automatic),Medium
4983-CLMLV,Month-to-month,Yes,Credit card (automatic),High
5701-YVSVF,Month-to-month,Yes,Electronic check,High
5804-LEPIM,Month-to-month,Yes,Electronic check,Medium
5697-GOMBF,Month-to-month,Yes,Electronic check,Low
2739-CACDQ,Month-to-month,Yes,Credit card (automatic),High
9385-EHGDO,Two year,Yes,Mailed check,Low
9498-FIMXL,One year,Yes,Mailed check,Low
2379-GYFLQ,One year,Yes,Credit card (automatic),High
0122-OAHPZ,Month-to-month,Yes,Electronic check,Medium
2868-SNELZ,Month-to-month,No,Mailed check,High
4322-RCYMT,One year,Yes,Bank transfer (automatic),Medium
6680-NENYN,Two year,Yes,Electronic check,High
2088-IEBAU,Two year,Yes,Electronic check,High
7982-VCELR,Month-to-month,Yes,Credit card (automatic),High
1343-EHPYB,Month-to-month,Yes,Electronic check,High
6035-BXTTY,Month-to-month,No,Bank transfer (automatic),Medium
6885-PKOAM,Two year,No,Credit card (automatic),High
7520-HQWJU,Month-to-month,Yes,Bank transfer (automatic),Medium
9639-BUJXT,One year,No,Mailed check,Low
5924-SNGKP,One year,Yes,Credit card (automatic),Low
0021-IKXGC,Month-to-month,Yes,Electronic check,Medium
2034-GDRCN,Month-to-month,Yes,Electronic check,High
8966-SNIZF,Two year,No,Bank transfer (automatic),Low
6243-OZGFH,Month-to-month,Yes,Electronic check,Medium
4654-DLAMQ,One year,No,Bank transfer (automatic),High
0513-RBGPE,Two year,Yes,Credit card (automatic),Medium
5160-UXJED,One year,No,Mailed check,Medium
4115-NZRKS,Month-to-month,Yes,Electronic check,High
0219-YTZUE,Month-to-month,Yes,Bank transfer (automatic),High
0623-IIHUG,Month-to-month,Yes,Electronic check,Medium
4572-DVCGN,Month-to-month,Yes,Bank transfer (automatic),High
3351-NGXYI,Month-to-month,Yes,Electronic check,Medium
8984-EYLLL,Two year,Yes,Electronic check,High
9057-MSWCO,Month-to-month,No,Credit card (automatic),Low
9833-TGFHX,One year,No,Electronic check,High
9294-TDIPC,Month-to-month,No,Mailed check,Low
5229-DTFYB,Two year,Yes,Bank transfer (automatic),High
0104-PPXDV,One year,No,Credit card (automatic),Medium
5176-LMJXE,Two year,Yes,Mailed check,Low
3583-KRKMD,Month-to-month,Yes,Bank transfer (automatic),Medium
1010-DIAUQ,Month-to-month,No,Bank transfer (automatic),High
9069-LGEUL,Month-to-month,Yes,Bank transfer (automatic),Medium
7302-ZHMHP,Month-to-month,No,Mailed check,Low
9571-EDEBV,One year,Yes,Credit card (automatic),High
3520-FJGCV,Two year,Yes,Credit card (automatic),High
6563-VRERX,One year,No,Mailed check,Low
0259-GBZSH,Month-to-month,Yes,Electronic check,High
6122-EFVKN,Two year,No,Mailed check,Low
2805-EDJPQ,One year,Yes,Credit card (automatic),High
6862-CQUMB,Month-to-month,Yes,Credit card (automatic),High
7156-MXBJE,One year,No,Credit card (automatic),High
6158-HDPXZ,Month-to-month,No,Mailed check,Low
9601-BRXPO,Month-to-month,Yes,Bank transfer (automatic),High
2863-IMQDR,Two year,No,Electronic check,High
5686-CMAWK,One year,No,Electronic check,High
5651-CRHKQ,One year,Yes,Bank transfer (automatic),High
6905-NIQIN,Month-to-month,No,Mailed check,Medium
8204-YJCLA,Two year,Yes,Bank transfer (automatic),Medium
5167-ZFFMM,Month-to-month,Yes,Credit card (automatic),High
6583-SZVGP,Two year,Yes,Bank transfer (automatic),High
4895-TMWIR,Month-to-month,No,Mailed check,Low
0533-BNWKF,Month-to-month,Yes,Electronic check,High
1708-PBBOA,One year,Yes,Electronic check,Medium
8782-LKFPK,Month-to-month,Yes,Mailed check,High
5522-JBWMO,Month-to-month,No,Electronic check,Medium
3597-MVHJT,Month-to-month,Yes,Bank transfer (automatic),High
9774-NRNAU,Month-to-month,Yes,Bank transfer (automatic),High
0224-RLWWD,Month-to-month,Yes,Electronic check,Medium
9967-ATRFS,Month-to-month,No,Mailed check,Low
3951-NJCVI,Month-to-month,Yes,Electronic check,High
2977-CEBSX,Two year,Yes,Credit card (automatic),High
0177-PXBAT,Month-to-month,Yes,Bank transfer (automatic),High
6599-CEBNN,Month-to-month,Yes,Credit card (automatic),Medium
2519-ERQOJ,Month-to-month,Yes,Electronic check,Medium
5876-QMYLD,One year,No,Mailed check,Low
2277-AXSDC,One year,No,Bank transfer (automatic),Low
9442-JTWDL,One year,No,Credit card (automatic),Low
0979-PHULV,Month-to-month,Yes,Credit card (automatic),High
3067-SVMTC,One year,No,Bank transfer (automatic),Medium
5495-GPSRW,Two year,Yes,Mailed check,Low
7606-BPHHN,Two year,Yes,Credit card (automatic),Low
4742-DRORA,One year,Yes,Bank transfer (automatic),High
0111-KLBQG,Month-to-month,Yes,Mailed check,High
4800-VHZKI,Month-to-month,Yes,Mailed check,Low
7989-CHGTL,Month-to-month,Yes,Mailed check,Low
0334-GDDSO,Month-to-month,Yes,Electronic check,High
4163-NCJAK,One year,Yes,Bank transfer (automatic),Low
5233-AOZUF,Month-to-month,Yes,Electronic check,Medium
5973-EJGDP,Month-to-month,Yes,Electronic check,High
1996-DBMUS,Month-to-month,Yes,Bank transfer (automatic),Medium
7916-VCCPB,Month-to-month,No,Bank transfer (automatic),Medium
4686-GEFRM,Two year,Yes,Bank transfer (automatic),High
5249-QYHEX,Two year,Yes,Mailed check,Low
0578-SKVMF,Month-to-month,No,Electronic check,High
5564-NEMQO,Month-to-month,Yes,Bank transfer (automatic),Medium
2233-FAGXV,Month-to-month,Yes,Mailed check,Low
5605-IYGFG,Month-to-month,Yes,Bank transfer (automatic),Medium
7663-ZTEGJ,One year,No,Credit card (automatic),High
3935-TBRZZ,One year,No,Mailed check,Low
8111-BKVDS,Month-to-month,No,Bank transfer (automatic),Medium
2055-SIFSS,Month-to-month,No,Bank transfer (automatic),Medium
2806-MLNTI,One year,Yes,Bank transfer (automatic),High
8734-DKSTZ,Month-to-month,No,Electronic check,High
4360-PNRQB,Month-to-month,Yes,Bank transfer (automatic),Medium
6152-ONASV,One year,No,Bank transfer (automatic),Medium
9063-ZGTUY,Month-to-month,Yes,Mailed check,Low
7781-HVGMK,Two year,Yes,Credit card (automatic),Medium
2181-UAESM,Month-to-month,No,Electronic check,Medium
2957-LOLHO,Month-to-month,Yes,Bank transfer (automatic),Medium
6048-NJXHX,Two year,Yes,Electronic check,Low
2320-SLKMB,Month-to-month,Yes,Credit card (automatic),Medium
4980-URKXC,One year,No,Bank transfer (automatic),Low
4376-KFVRS,Two year,Yes,Credit card (automatic),High
5886-VLQVU,Month-to-month,Yes,Bank transfer (automatic),High
3577-AMVUX,Month-to-month,No,Mailed check,Medium
0771-WLCLA,Month-to-month,Yes,Electronic check,High
5628-RKIFK,Month-to-month,No,Credit card (automatic),High
0206-TBWLC,One year,Yes,Mailed check,High
2937-FTHUR,Month-to-month,No,Electronic check,Medium
1910-FMXJM,Month-to-month,No,Electronic check,High
7752-XUSCI,Month-to-month,Yes,Electronic check,High
4110-PFEUZ,Month-to-month,No,Mailed check,Medium
0732-OCQOC,Two year,Yes,Bank transfer (automatic),Low
5168-MSWXT,Month-to-month,Yes,Electronic check,High
1090-ESELR,Two year,No,Bank transfer (automatic),High
8592-PLTMQ,One year,No,Mailed check,Low
5760-WRAHC,Month-to-month,Yes,Mailed check,Medium
8847-GEOOQ,Month-to-month,Yes,Bank transfer (automatic),Medium
0256-LTHVJ,Month-to-month,Yes,Electronic check,High
4785-FCIFB,Two year,No,Mailed check,Low
8313-NDOIA,Month-to-month,Yes,Electronic check,High
5149-CUZUJ,One year,No,Bank transfer (automatic),High
0942-KOWSM,Two year,No,Bank transfer (automatic),High
4237-CLSMM,Month-to-month,No,Mailed check,Low
1452-VOQCH,Month-to-month,Yes,Electronic check,Medium
4719-UMSIY,Month-to-month,No,Mailed check,Low
6614-VBEGU,Month-to-month,Yes,Bank transfer (automatic),Medium
0880-TKATG,Month-to-month,No,Electronic check,High
3811-VBYBZ,Month-to-month,Yes,Electronic check,High
1480-BKXGA,Two year,Yes,Bank transfer (automatic),High
2996-XAUVF,Two year,Yes,Mailed check,Medium
9076-AXYIK,Two year,No,Electronic check,High
5968-XQIVE,One year,Yes,Electronic check,High
8896-RAZCR,Two year,No,Mailed check,Low
4640-UHDOS,Month-to-month,No,Electronic check,Medium
4933-IKULF,One year,No,Mailed check,Low
3583-EKAPL,Month-to-month,Yes,Electronic check,Medium
1304-BCCFO,Month-to-month,Yes,Mailed check,Medium
4104-PVRPS,Month-to-month,No,Mailed check,Medium
9399-APLBT,Month-to-month,Yes,Electronic check,Medium
2359-KMGLI,Month-to-month,Yes,Electronic check,High
3780-DDGSE,Month-to-month,Yes,Electronic check,Medium
4431-EDMIQ,Month-to-month,Yes,Electronic check,Medium
0306-JAELE,Month-to-month,Yes,Electronic check,High
6227-HWPWX,Month-to-month,No,Bank transfer (automatic),Medium
0486-LGCCH,Two year,No,Mailed check,Low
0447-BEMNG,Month-to-month,Yes,Bank transfer (automatic),Medium
4612-SSVHJ,Month-to-month,Yes,Electronic check,High
5168-MQQCA,One year,Yes,Bank transfer (automatic),High
5949-XIKAE,Month-to-month,Yes,Electronic check,High
7971-HLVXI,Two year,Yes,Credit card (automatic),High
9094-AZPHK,Month-to-month,Yes,Electronic check,High
3649-JPUGY,Two year,Yes,Bank transfer (automatic),High
