customer_ID,phone_services,multiple_lines,internet_services,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,total_services
9919-YLNNG,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,7
0318-ZOPWS,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
4445-ZJNMU,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6
4808-YNLEU,Yes,No,DSL,Yes,No,No,No,Yes,No,4
1862-QRWPE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
2796-NNUFI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
3016-KSVCP,No,No phone service,DSL,No,No,No,No,Yes,No,2
4767-HZZHQ,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,4
2424-WVHPL,Yes,No,Fiber optic,No,No,No,Yes,No,No,3
7233-PAHHL,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,8
6067-NGCEU,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,8
9848-JQJTX,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7
8637-XJIVR,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,4
9803-FTJCG,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,6
0278-YXOOG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
3212-KXOCR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
4598-XLKNJ,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,6
6380-ARCEH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
3679-XASPY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7123-WQUHX,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,6
5386-THSLQ,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,4
3192-NQECA,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,8
6180-YBIQI,No,No phone service,DSL,No,No,No,No,No,No,1
6728-DKUCO,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,7
9750-BOOHV,No,No phone service,DSL,Yes,No,No,No,No,No,2
8597-CWYHH,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5
2848-YXSMW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
0486-HECZI,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,6
4549-ZDQYY,Yes,No,DSL,Yes,No,Yes,Yes,No,No,5
5712-AHQNN,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,5
4846-WHAFZ,Yes,Yes,Fiber optic,No,No,No,No,No,No,3
5256-SKJGO,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,5
3071-VBYPO,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,5
9560-BBZXK,No,No phone service,DSL,Yes,No,No,No,No,No,2
5299-RULOA,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,6
8402-OOOHJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
9445-ZUEQE,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,5
1091-SOZGA,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6
2928-HLDBA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
0404-SWRVG,Yes,Yes,Fiber optic,No,No,No,No,No,No,3
6497-TILVL,Yes,No,DSL,Yes,No,No,No,No,No,3
7219-TLZHO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
4622-YNKIJ,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,5
4412-YLTKF,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,4
6734-PSBAW,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
3930-ZGWVE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
2639-UGMAZ,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,5
2876-GZYZC,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4
6207-WIOLX,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,6
8587-XYZSF,Yes,No,DSL,No,No,No,Yes,No,No,3
3091-FYHKI,No,No phone service,DSL,No,No,No,No,No,Yes,2
2372-HWUHI,Yes,No,DSL,No,No,No,No,No,No,2
7799-LGRDP,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
7850-VWJUU,Yes,No,Fiber optic,Yes,No,No,No,No,No,3
3774-VBNXY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
6217-KDYWC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
0390-DCFDQ,Yes,No,Fiber optic,No,No,No,No,No,No,2
3146-MSEGF,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,9
4080-OGPJL,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,6
1095-WGNGG,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6
2636-SJDOU,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,5
1131-QQZEB,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
5716-EZXZN,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,7
6837-BJYDQ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
2135-RXIHG,Yes,No,DSL,No,No,No,No,No,No,2
6440-DKQGE,Yes,No,DSL,No,Yes,Yes,No,Yes,No,5
3466-BYAVD,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,6
3780-YVMFA,Yes,No,DSL,No,No,No,Yes,Yes,Yes,5
3874-EQOEP,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5
1679-JRFBR,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,8
9073-ZZIAY,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,8
3077-RSNTJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
6551-GNYDG,Yes,No,Fiber optic,No,No,No,No,No,Yes,3
9167-APMXZ,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,4
2749-CTKAJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
6371-NZYEG,Yes,No,DSL,Yes,No,Yes,No,Yes,No,5
7554-NEWDD,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
8992-VONJD,Yes,No,DSL,Yes,Yes,No,No,No,No,4
0867-MKZVY,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,4
4482-EWFMI,Yes,No,Fiber optic,No,No,No,No,No,No,2
4648-YPBTM,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,7
2907-ILJBN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
6345-FZOQH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
3376-BMGFE,Yes,No,Fiber optic,No,No,No,No,No,No,2
5997-OPVFA,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,9
3445-HXXGF,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,4
1159-WFSGR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7654-YWJUF,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,5
1875-QIVME,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,7
6727-IOTLZ,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,7
0691-JVSYA,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,5
5918-VUKWP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
1744-JHKYS,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
2656-FMOKZ,Yes,Yes,Fiber optic,No,No,No,No,No,No,3
2070-FNEXE,Yes,No,Fiber optic,Yes,No,No,No,No,No,3
5947-SGKCL,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7
3712-PKXZA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
6317-YPKDH,No,No phone service,DSL,No,Yes,No,No,No,No,2
6582-OIVSP,Yes,No,DSL,No,No,No,No,No,No,2
9367-WXLCH,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4
5524-KHNJP,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,6
1918-ZBFQJ,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,4
1024-GUALD,No,No phone service,DSL,No,No,No,No,No,No,1
4827-USJHP,Yes,No,DSL,No,Yes,No,No,No,No,3
8167-GJLRN,No,No phone service,DSL,No,No,No,Yes,No,No,2
0956-SYCWG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
8017-UVSZU,Yes,Yes,DSL,No,Yes,No,No,No,No,4
7100-FQPRV,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,6
2472-OVKUP,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,5
2984-RGEYA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
9680-NIAUV,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,8
2146-EGVDT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
2604-IJPDU,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,6
9178-JHUVJ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
6168-YBYNP,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,8
7255-SSFBC,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,8
3645-DEYGF,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
9323-HGFWY,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,6
8544-GOQSH,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,4
3363-DTIVD,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,7
7018-WBJNK,Yes,No,Fiber optic,No,No,No,No,Yes,No,3
9142-KZXOP,Yes,No,Fiber optic,No,No,No,No,No,No,2
7674-YTAFD,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,4
6348-SNFUS,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,6
1285-OKIPP,Yes,No,Fiber optic,No,No,No,No,No,Yes,3
7825-ECJRF,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,7
1347-KTTTA,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,7
7841-TZDMQ,Yes,No,DSL,No,No,No,No,No,No,2
4195-NZGTA,No,No phone service,DSL,No,No,No,No,No,No,1
7157-SMCFK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
4709-LKHYG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
2504-DSHIH,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4
0699-NDKJM,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,6
9286-BHDQG,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,5
0230-WEQUW,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,6
2040-LDIWQ,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,8
6496-JDSSB,Yes,No,Fiber optic,No,No,No,No,Yes,No,3
9408-SSNVZ,Yes,No,Fiber optic,No,No,No,No,No,No,2
4443-EMBNA,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
6469-MRVET,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
0742-MOABM,Yes,No,DSL,No,No,No,Yes,No,No,3
5961-VUSRV,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
6778-JFCMK,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,4
6341-JVQGF,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,7
2232-DMLXU,Yes,No,DSL,No,No,No,No,Yes,No,3
4811-JBUVU,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,5
0945-TSONX,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,8
2651-ZCBXV,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,8
3316-UWXUY,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,6
8937-RDTHP,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,4
7083-MIOPC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
1984-GPTEH,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
1251-KRREG,Yes,Yes,DSL,No,Yes,No,No,No,No,4
0621-JFHOL,No,No phone service,DSL,No,No,No,Yes,No,No,2
9903-LYSAB,Yes,Yes,Fiber optic,No,No,No,No,No,No,3
0094-OIFMO,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,5
9227-UAQFT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7301-ABVAD,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,8
6614-FHDBO,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,8
7576-ASEJU,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,6
9058-HRZSV,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,6
4522-AKYLR,Yes,No,DSL,No,Yes,Yes,No,No,No,4
0221-WMXNQ,Yes,No,Fiber optic,Yes,No,No,No,No,No,3
0303-UNCIP,Yes,Yes,DSL,No,No,Yes,No,No,Yes,5
9947-OTFQU,Yes,No,Fiber optic,No,Yes,No,No,No,No,3
0322-YINQP,Yes,No,DSL,Yes,No,No,No,No,No,3
0959-WHOKV,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,7
4075-JFPGR,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,6
4629-NRXKX,Yes,No,Fiber optic,No,No,No,No,No,No,2
9514-JDSKI,No,No phone service,DSL,No,Yes,No,No,Yes,No,3
3282-ZISZV,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,8
3675-YDUPJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
4111-BNXIF,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,6
7017-VFHAY,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,9
6655-LHBYW,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,9
4959-JOSRX,Yes,No,DSL,No,No,No,No,No,No,2
5046-NUHWD,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,4
7273-TEFQD,No,No phone service,DSL,No,No,Yes,No,No,Yes,3
3606-TWKGI,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7
7529-ZDFXI,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,5
7605-BDWDC,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,5
1950-KSVVJ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,9
0123-CRBRT,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,9
6292-TOSSS,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
3197-ARFOY,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,7
6323-AYBRX,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7014-ZZXAW,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
4385-GZQXV,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,5
7633-MVPUY,Yes,No,DSL,Yes,Yes,No,Yes,No,No,5
6366-ZGQGL,No,No phone service,DSL,No,No,No,No,No,No,1
4716-HHKQH,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,7
5940-AHUHD,Yes,No,Fiber optic,No,No,No,No,No,No,2
6432-TWQLB,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,5
4484-GLZOU,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7
3179-GBRWV,Yes,No,DSL,Yes,Yes,No,No,No,Yes,5
8645-KWHJO,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,5
4130-MZLCC,Yes,No,DSL,No,Yes,No,No,No,No,3
0314-TKOSI,Yes,No,DSL,Yes,Yes,No,No,No,No,4
8229-MYEJZ,Yes,No,DSL,No,Yes,No,No,No,No,3
2080-SRCDE,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
9577-WJVCQ,Yes,Yes,DSL,Yes,No,No,No,No,No,4
9512-UIBFX,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,5
6202-DYYFX,Yes,Yes,Fiber optic,No,No,No,No,No,No,3
3808-HFKDE,Yes,No,DSL,No,No,No,No,No,No,2
5583-SXDAG,Yes,No,Fiber optic,No,No,No,No,No,No,2
3488-PGMQJ,Yes,No,Fiber optic,No,Yes,No,No,No,No,3
3580-REOAC,Yes,No,DSL,No,No,No,No,No,No,2
7534-BFESC,Yes,Yes,Fiber optic,No,No,No,No,No,No,3
3727-OWVYD,Yes,No,DSL,Yes,Yes,Yes,No,No,No,5
2294-SALNE,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,5
4847-TAJYI,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,4
1563-IWQEX,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
8203-XJZRC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
6556-DBKZF,Yes,No,Fiber optic,No,No,Yes,No,No,No,3
6851-WEFYX,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6
2985-JUUBZ,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,6
6390-DSAZX,Yes,No,Fiber optic,Yes,No,No,No,No,No,3
0895-LMRSF,Yes,No,DSL,No,No,No,No,Yes,Yes,4
8098-LLAZX,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5
8266-VBFQL,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,5
8181-YHCMF,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,6
2240-HSJQD,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,4
1248-DYXUB,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
0265-EDXBD,Yes,Yes,Fiber optic,No,No,No,No,No,No,3
4115-BNPJY,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,6
3167-SNQPL,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6
4091-TVOCN,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,7
1098-TDVUQ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7277-OZCGZ,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,5
1557-EMYVT,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,9
2799-ARNLO,Yes,No,Fiber optic,No,No,No,No,No,No,2
7563-BIUPC,Yes,No,Fiber optic,No,No,No,No,Yes,No,3
5027-YOCXN,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,8
3973-SKMLN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
2321-OMBXY,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,7
2840-XANRC,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,5
6745-JEFZB,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,5
5020-ZSTTY,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,8
9880-TDQAC,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,6
8705-WZCYL,Yes,No,DSL,No,No,No,No,No,No,2
7102-JJVTX,Yes,No,DSL,Yes,No,No,No,No,No,3
8626-PTQGE,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,6
4983-CLMLV,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,7
