customer_ID,gender,senior_citizen,partner,dependents,tenure,tenure_group,churn
5940-AHUHD,Male,NO,No,No,1,0-1 Year,Yes
6432-TWQLB,Male,NO,Yes,No,5,0-1 Year,Yes
4484-GLZOU,Female,NO,Yes,No,52,4-5 Years,Yes
3179-GBRWV,Male,YES,Yes,No,21,1-2 Years,No
8645-KWHJO,Male,NO,No,No,14,1-2 Years,No
4130-MZLCC,Female,NO,No,No,5,0-1 Year,No
0314-TKOSI,Female,NO,No,No,6,0-1 Year,No
8229-MYEJZ,Female,NO,No,No,10,0-1 Year,No
2080-SRCDE,Female,NO,No,Yes,1,0-1 Year,No
9577-WJVCQ,Female,NO,No,No,68,5+ Years,No
9512-UIBFX,Male,NO,Yes,Yes,18,1-2 Years,Yes
6202-DYYFX,Female,NO,No,No,22,1-2 Years,No
3808-HFKDE,Female,NO,No,No,20,1-2 Years,No
5583-SXDAG,Male,NO,Yes,No,1,0-1 Year,Yes
3488-PGMQJ,Male,YES,No,No,8,0-1 Year,Yes
3580-REOAC,Male,NO,No,No,10,0-1 Year,Yes
7534-BFESC,Male,YES,No,No,24,2-4 Years,Yes
3727-OWVYD,Male,NO,No,No,35,2-4 Years,No
2294-SALNE,Male,NO,Yes,Yes,23,1-2 Years,No
4847-TAJYI,Female,YES,No,No,6,0-1 Year,No
1563-IWQEX,Female,NO,No,No,12,1-2 Years,No
8203-XJZRC,Male,NO,No,No,1,0-1 Year,No
6556-DBKZF,Female,NO,Yes,Yes,71,5+ Years,No
6851-WEFYX,Male,YES,Yes,No,35,2-4 Years,No
2985-JUUBZ,Male,NO,Yes,Yes,40,2-4 Years,No
6390-DSAZX,Female,NO,No,Yes,1,0-1 Year,Yes
0895-LMRSF,Male,NO,No,No,23,1-2 Years,No
8098-LLAZX,Female,YES,No,No,4,0-1 Year,Yes
8266-VBFQL,Male,NO,No,No,4,0-1 Year,No
8181-YHCMF,Female,NO,Yes,Yes,68,5+ Years,No
2240-HSJQD,Male,NO,No,Yes,38,2-4 Years,No
1248-DYXUB,Male,NO,Yes,Yes,52,4-5 Years,No
0265-EDXBD,Male,YES,Yes,No,32,2-4 Years,Yes
4115-BNPJY,Male,NO,Yes,Yes,29,2-4 Years,No
3167-SNQPL,Male,YES,Yes,Yes,38,2-4 Years,No
4091-TVOCN,Male,NO,No,Yes,48,4-5 Years,No
1098-TDVUQ,Female,NO,No,No,1,0-1 Year,No
7277-OZCGZ,Female,NO,No,No,22,1-2 Years,No
1557-EMYVT,Female,NO,No,No,43,2-4 Years,No
2799-ARNLO,Female,YES,Yes,No,5,0-1 Year,No
7563-BIUPC,Male,NO,No,No,5,0-1 Year,Yes
5027-YOCXN,Male,NO,Yes,Yes,51,4-5 Years,No
3973-SKMLN,Male,NO,No,No,71,5+ Years,No
2321-OMBXY,Female,NO,Yes,Yes,38,2-4 Years,Yes
2840-XANRC,Male,YES,Yes,No,24,2-4 Years,Yes
6745-JEFZB,Male,NO,Yes,No,35,2-4 Years,No
5020-ZSTTY,Female,YES,No,No,54,4-5 Years,Yes
9880-TDQAC,Female,NO,Yes,Yes,72,5+ Years,No
8705-WZCYL,Male,NO,No,No,1,0-1 Year,No
7102-JJVTX,Female,NO,Yes,Yes,9,0-1 Year,No
8626-PTQGE,Male,NO,No,No,69,5+ Years,No
4983-CLMLV,Female,NO,Yes,No,52,4-5 Years,No
5701-YVSVF,Female,YES,Yes,No,11,0-1 Year,No
5804-LEPIM,Female,YES,No,No,2,0-1 Year,Yes
5697-GOMBF,Female,YES,Yes,Yes,28,2-4 Years,No
2739-CACDQ,Female,YES,No,No,17,1-2 Years,No
9385-EHGDO,Female,NO,Yes,Yes,35,2-4 Years,No
9498-FIMXL,Female,NO,No,No,8,0-1 Year,No
2379-GYFLQ,Male,NO,No,No,46,2-4 Years,No
0122-OAHPZ,Female,NO,No,No,7,0-1 Year,Yes
2868-SNELZ,Female,NO,No,No,2,0-1 Year,Yes
4322-RCYMT,Male,NO,Yes,Yes,68,5+ Years,Yes
6680-NENYN,Female,NO,No,No,43,2-4 Years,Yes
2088-IEBAU,Female,NO,No,No,68,5+ Years,No
7982-VCELR,Female,NO,No,No,36,2-4 Years,No
1343-EHPYB,Male,NO,Yes,No,63,5+ Years,Yes
6035-BXTTY,Female,YES,No,No,32,2-4 Years,No
6885-PKOAM,Female,NO,Yes,No,71,5+ Years,No
7520-HQWJU,Female,NO,Yes,Yes,66,5+ Years,No
9639-BUJXT,Male,NO,No,No,63,5+ Years,No
5924-SNGKP,Female,NO,No,Yes,41,2-4 Years,No
0021-IKXGC,Female,YES,No,No,1,0-1 Year,No
2034-GDRCN,Female,NO,No,No,2,0-1 Year,Yes
8966-SNIZF,Female,NO,Yes,No,70,5+ Years,No
6243-OZGFH,Female,NO,No,No,23,1-2 Years,No
4654-DLAMQ,Female,YES,Yes,No,64,5+ Years,No
0513-RBGPE,Male,NO,Yes,Yes,37,2-4 Years,No
5160-UXJED,Male,NO,No,Yes,17,1-2 Years,No
4115-NZRKS,Female,YES,No,No,7,0-1 Year,No
0219-YTZUE,Male,NO,Yes,Yes,4,0-1 Year,Yes
0623-IIHUG,Female,YES,No,No,21,1-2 Years,Yes
4572-DVCGN,Female,NO,No,No,10,0-1 Year,Yes
3351-NGXYI,Female,YES,No,No,16,1-2 Years,No
8984-EYLLL,Male,NO,Yes,No,64,5+ Years,No
9057-MSWCO,Male,YES,Yes,No,27,2-4 Years,Yes
9833-TGFHX,Male,NO,Yes,Yes,42,2-4 Years,No
9294-TDIPC,Male,NO,No,Yes,5,0-1 Year,No
5229-DTFYB,Female,NO,No,No,41,2-4 Years,No
0104-PPXDV,Male,NO,Yes,No,58,4-5 Years,No
5176-LMJXE,Female,NO,No,No,47,2-4 Years,No
3583-KRKMD,Male,NO,No,No,18,1-2 Years,No
1010-DIAUQ,Male,NO,No,No,5,0-1 Year,Yes
9069-LGEUL,Male,NO,Yes,No,23,1-2 Years,No
7302-ZHMHP,Female,NO,No,No,1,0-1 Year,No
9571-EDEBV,Male,NO,Yes,No,71,5+ Years,No
3520-FJGCV,Male,NO,Yes,Yes,72,5+ Years,No
6563-VRERX,Male,NO,Yes,Yes,33,2-4 Years,No
0259-GBZSH,Male,NO,No,No,2,0-1 Year,Yes
6122-EFVKN,Male,NO,No,Yes,24,2-4 Years,No
2805-EDJPQ,Female,NO,Yes,Yes,56,4-5 Years,No
6862-CQUMB,Male,NO,No,No,37,2-4 Years,No
7156-MXBJE,Female,NO,No,No,43,2-4 Years,No
6158-HDPXZ,Male,NO,No,No,1,0-1 Year,No
9601-BRXPO,Female,NO,Yes,No,25,2-4 Years,Yes
2863-IMQDR,Female,NO,No,No,61,5+ Years,No
5686-CMAWK,Male,NO,No,No,17,1-2 Years,No
5651-CRHKQ,Female,NO,Yes,No,41,2-4 Years,No
6905-NIQIN,Male,NO,No,No,1,0-1 Year,Yes
8204-YJCLA,Male,YES,Yes,Yes,72,5+ Years,No
5167-ZFFMM,Male,NO,No,No,1,0-1 Year,Yes
6583-SZVGP,Male,NO,No,No,48,4-5 Years,No
4895-TMWIR,Male,YES,Yes,No,11,0-1 Year,Yes
0533-BNWKF,Female,YES,Yes,No,55,4-5 Years,Yes
1708-PBBOA,Female,NO,No,No,42,2-4 Years,No
8782-LKFPK,Male,NO,No,No,44,2-4 Years,No
5522-JBWMO,Male,NO,No,Yes,1,0-1 Year,No
3597-MVHJT,Female,NO,No,No,27,2-4 Years,No
9774-NRNAU,Male,YES,Yes,No,27,2-4 Years,No
0224-RLWWD,Female,YES,No,No,2,0-1 Year,No
9967-ATRFS,Female,NO,No,No,19,1-2 Years,No
3951-NJCVI,Female,YES,Yes,No,42,2-4 Years,No
2977-CEBSX,Female,NO,No,No,66,5+ Years,No
0177-PXBAT,Male,YES,Yes,No,33,2-4 Years,No
6599-CEBNN,Female,NO,No,No,34,2-4 Years,Yes
2519-ERQOJ,Male,YES,No,No,33,2-4 Years,No
5876-QMYLD,Female,NO,Yes,Yes,23,1-2 Years,No
2277-AXSDC,Female,NO,No,No,32,2-4 Years,No
9442-JTWDL,Female,NO,No,No,11,0-1 Year,No
0979-PHULV,Male,NO,Yes,Yes,69,5+ Years,Yes
3067-SVMTC,Female,NO,Yes,No,68,5+ Years,No
5495-GPSRW,Male,NO,No,No,20,1-2 Years,No
7606-BPHHN,Male,NO,No,No,72,5+ Years,No
4742-DRORA,Male,NO,Yes,Yes,60,5+ Years,No
0111-KLBQG,Male,YES,Yes,Yes,32,2-4 Years,No
4800-VHZKI,Female,NO,No,No,1,0-1 Year,Yes
7989-CHGTL,Male,NO,No,No,1,0-1 Year,Yes
0334-GDDSO,Male,YES,No,No,3,0-1 Year,Yes
4163-NCJAK,Female,NO,Yes,No,46,2-4 Years,No
5233-AOZUF,Female,NO,Yes,No,29,2-4 Years,No
5973-EJGDP,Male,NO,No,No,51,4-5 Years,No
1996-DBMUS,Female,YES,Yes,No,48,4-5 Years,No
7916-VCCPB,Female,NO,Yes,Yes,16,1-2 Years,No
4686-GEFRM,Male,NO,Yes,No,70,5+ Years,No
5249-QYHEX,Female,NO,Yes,Yes,40,2-4 Years,No
0578-SKVMF,Female,NO,Yes,Yes,22,1-2 Years,Yes
5564-NEMQO,Female,YES,No,No,1,0-1 Year,Yes
2233-FAGXV,Female,NO,Yes,Yes,5,0-1 Year,No
5605-IYGFG,Female,NO,No,No,7,0-1 Year,No
7663-ZTEGJ,Male,NO,No,Yes,29,2-4 Years,No
3935-TBRZZ,Male,NO,Yes,Yes,44,2-4 Years,No
8111-BKVDS,Female,NO,No,No,10,0-1 Year,No
2055-SIFSS,Female,YES,Yes,No,55,4-5 Years,No
2806-MLNTI,Male,YES,Yes,No,52,4-5 Years,No
8734-DKSTZ,Female,NO,Yes,Yes,10,0-1 Year,No
4360-PNRQB,Male,NO,No,No,18,1-2 Years,No
6152-ONASV,Female,NO,Yes,No,68,5+ Years,No
9063-ZGTUY,Female,NO,Yes,Yes,61,5+ Years,Yes
7781-HVGMK,Female,NO,Yes,Yes,72,5+ Years,No
2181-UAESM,Male,NO,No,No,2,0-1 Year,No
2957-LOLHO,Male,NO,No,No,12,1-2 Years,Yes
6048-NJXHX,Male,NO,Yes,No,41,2-4 Years,No
2320-SLKMB,Female,NO,No,No,26,2-4 Years,No
